,0,neg,neu,pos,net
274,['Heres the Galaxy Note 10 in Most of Its Pretty Colors'],0.0,0.743,0.257,-0.257
275,['Verizons Galaxy S10 Family Grabs Pair of Updates'],0.0,1.0,0.0,0.0
276,['The Big Galaxy Note 10 Leak is Here']-,0.255,0.745,0.0,0.255
277,['Verizons Galaxy Note 10 5G has been tested '],0.0,1.0,0.0,0.0
278,['Verizons Galaxy Note 10 5G has Been Tested GalaxyNote10 '],0.0,1.0,0.0,0.0
279,['Hi Galaxy Watch Active 2 ']-----------,0.0,0.597,0.403,-0.403
280,['Dont miss this weeks show We covered the TMoSprint merger Galaxy Note 10 and Pixel 4 '],0.096,0.904,0.0,0.096
281,['Heres the Galaxy Watch Active 2 Thanks to the FCC galaxywatchactive2 '],0.0,0.616,0.384,-0.384
282,['DEAL All Unlocked Galaxy S10 Phones are 400500 Off at Best Buy Today galaxys10 '],0.0,0.769,0.231,-0.231
283,['Galaxy Note 10 Launch Day is August 23 Reservations Now Open With 600 Off for TradeIns galaxynote10 '],0.0,1.0,0.0,0.0
284,['TMobile is done with the Galaxy Fold'],0.0,1.0,0.0,0.0
285,['Galaxy Fold is almost ready for its comeback in September'],0.0,0.803,0.197,-0.197
286,['TMobile Wont Sell the Galaxy Fold']---,0.0,1.0,0.0,0.0
287,['Galaxy Note 10 5G for Verizon Disclosed Appears to be Limited Time Exclusive'],0.137,0.863,0.0,0.137
288,['Verizon Galaxy S7 S7 Edge S8 S8 and Note 8 Get Updated Security Patches'],0.0,0.833,0.167,-0.167
289,['Galaxy Note 10 Note 10 Specs Reported to Include a Processor Display and Possibly Internal Storage'],0.0,1.0,0.0,0.0
290,['Visible Adds WiFi Calling Capability for Galaxy S9 S9'],0.0,1.0,0.0,0.0
291,['Here are the US Galaxy Note 10 Network Bands galaxynote10 '],0.0,1.0,0.0,0.0
292,['Galaxy Fold aced its latest tests and is ready for launch according to report '],0.0,0.848,0.152,-0.152
293,['Report Galaxy Fold Ready for Launch Following Latest Durability Tests'],0.0,0.783,0.217,-0.217
294,['Expect One UI 20 With Android Q Version 21 With Galaxy S11'],0.0,1.0,0.0,0.0
295,['Galaxy S10 S10 now start at 300 off for Prime Day'],0.0,1.0,0.0,0.0
296,['DEAL Unlocked Galaxy S10 Line is 200500 Off Right Now galaxys10 '],0.0,1.0,0.0,0.0
297,['Galaxy Note 10 Stops at the FCC Dancing the No Headphone Jack Dance galaxynote10 '],0.226,0.774,0.0,0.226
298,['Heres the Galaxy Note 10 ']-----------,0.0,1.0,0.0,0.0
299,['This is the Galaxy Note 10']----------,0.0,1.0,0.0,0.0
300,['Verizon Galaxy S10 S10 and S10e Grab New Updates With Performance Improvements galaxys10 '],0.0,0.85,0.15,-0.15
301,['We know when the Galaxy Note 10 will be announced'],0.0,1.0,0.0,0.0
302,['Invites Rolling Out Galaxy Note 10 Arrives August 7'],0.0,1.0,0.0,0.0
303,['Friday Phone Deals Pixel 2 XL for 10mo BOGO Galaxy S10'],0.0,1.0,0.0,0.0
304,['Shaky Camera Returns Heres the Galaxy Note 10'],0.0,1.0,0.0,0.0
305,['Giveaway Win 1 of 5 mophie Juice Pack Cases for Your Galaxy S10'],0.0,0.725,0.275,-0.275
306,['mophies 99 Juice Packs are a go for the Galaxy S10 lineup '],0.0,1.0,0.0,0.0
307,['DEAL Get MNML Cases for Pixel 3 Galaxy S10 for 1499 With Code 12 Off'],0.0,1.0,0.0,0.0
308,['mophies 99 Juice Packs for Galaxy S10 Lineup Offer Up to 2500mAh in Extra Battery Life'],0.0,1.0,0.0,0.0
309,['TMobile to Sell the Galaxy S10 5G in Select Cities on June 28'],0.0,1.0,0.0,0.0
310,['Friday Phone Deals Galaxy S10 at 300 Off Pixel 3 XL Up to 220 Off galaxys10 '],0.0,1.0,0.0,0.0
311,['Galaxy S7 and Galaxy S7 Edge Drop From Quarterly to Regular Security Updates'],0.135,0.71,0.155,-0.01999999999999999
312,['Galaxy Note 10 rumored to feature camera with threestage variable aperture '],0.0,1.0,0.0,0.0
313,['Galaxy Note 10 Could Feature ThreeStage Variable Aperture Camera'],0.0,1.0,0.0,0.0
314,['Verizon Galaxy S9 S9 Updated to June Security Patch'],0.0,0.769,0.231,-0.231
315,['DEAL All Unlocked Galaxy S10 Models are 300 Off at Best Buy galaxys10 '],0.0,0.756,0.244,-0.244
316,['ATampT Business Customers Can Get the Galaxy S10 5G Starting June 17'],0.0,1.0,0.0,0.0
317,['Verizons Galaxy S9 S9 get RCS ']------,0.0,1.0,0.0,0.0
318,['Galaxy Note 10 renders confirm no headphone jack but weve got buttons galaxynote10 '],0.11,0.89,0.0,0.11
319,['Verizons Galaxy S9 S9 Get RCS Support and Proves That RCS is Dumb'],0.0,0.816,0.184,-0.184
320,['Galaxy Note 10 CAD Renders Detail Headphone JackLess Centered Display Cutout Beast Phone'],0.0,1.0,0.0,0.0
321,['Galaxy Home apparently scheduled for launch in Q3 '],0.0,1.0,0.0,0.0
322,['DEAL Unlocked 256GB Galaxy S10e is 650 Right Now Others 200 Off Too galaxys10 '],0.0,1.0,0.0,0.0
323,['Not Back Galaxy Note 10 Reportedly Ditches Headphone Jack All Buttons galaxynote10 '],0.0,1.0,0.0,0.0
324,['Its looking unlikely that the Galaxy Fold will launch in June '],0.0,1.0,0.0,0.0
325,['TMobile Galaxy S8 S8 and Note 8 Updated With May Security Patch'],0.0,0.806,0.194,-0.194
326,['Report Galaxy Fold Release in June is Unlikely'],0.0,1.0,0.0,0.0
327,['Galaxy S10 in Cardinal Red Yes please '],0.0,0.545,0.455,-0.455
328,['Mmm Heres the Galaxy S10 in Cardinal Red'],0.0,1.0,0.0,0.0
329,['Verizon Galaxy S10 Family Gets May Security Patch Camera Enhancements'],0.0,0.789,0.211,-0.211
330,['Verizon Galaxy S10 5G now available for purchase instore but there still isnt much of a 5G network to connect to '],0.0,1.0,0.0,0.0
331,['Verizons Galaxy S10 5G is Now Available Without Much of a 5G Network galaxys105g '],0.0,1.0,0.0,0.0
332,['Ill be leaving the Galaxy S10 for the OnePlus 7 Pro '],0.0,1.0,0.0,0.0
333,['Bye Bye Galaxy S10 Hello OnePlus 7 Pro'],0.0,1.0,0.0,0.0
334,['DEAL US Unlocked Galaxy S10 S10 and S10e All at Least 100 Off at Amazon galaxys10 '],0.0,0.904,0.096,-0.096
335,['Verizon Galaxy S10 S10 S10e Updated With April Security Patch'],0.0,0.789,0.211,-0.211
336,['DEAL Buy Unlocked Galaxy S9 or S9 Get a Free 512GB SD Card and Wireless Charger galaxys9 '],0.0,0.829,0.171,-0.171
337,['We discussed the Galaxy Fold drama on the DL Show this week '],0.0,1.0,0.0,0.0
338,['Verizon CEO says Galaxy Note 10 will have 5G '],0.0,1.0,0.0,0.0
339,['Galaxy S10 5G is up for preorder for those who are fortunate enough to live near 5G '],0.0,0.854,0.146,-0.146
340,['Verizon CEO Galaxy Note 10 Will Have 5G'],0.0,1.0,0.0,0.0
341,['Verizons Galaxy S10 5G starts at 1300'],0.0,1.0,0.0,0.0
342,['Get Ready for Verizon Galaxy S10 5G PreOrders and Bonuses galaxys105g '],0.0,0.621,0.379,-0.379
343,['Galaxy Fold teardown reveals its quite a fragile device '],0.0,1.0,0.0,0.0
344,['We now have specs and pricing for the Galaxy View 2 on ATampT Available this Friday for 37month on ATampT Next '],0.0,1.0,0.0,0.0
345,['Galaxy Fold Gets a Teardown an Accident Waiting to Happen'],0.279,0.721,0.0,0.279
346,['ATampT Unveils Galaxy View 2 on YouTube a 173 FHD Display Behemoth'],0.0,1.0,0.0,0.0
347,['Bright Night will now be a standalone camera mode on the Galaxy S10 '],0.0,1.0,0.0,0.0
348,['If youre buying a Galaxy Fold heres what NOT to do '],0.0,1.0,0.0,0.0
349,['Uh oh Galaxy Fold review units are breaking '],0.0,1.0,0.0,0.0
350,['If You Buy a Galaxy Fold Dont Remove Its Protective Layer galaxyfold '],0.0,1.0,0.0,0.0
351,['Galaxy Fold Review Units are Breaking GalaxyFold '],0.0,1.0,0.0,0.0
352,['Is the Galaxy Fold bad']--------------,0.0,1.0,0.0,0.0
353,['Early adopters you can preorder the Galaxy Fold'],0.0,1.0,0.0,0.0
354,['Verizon Galaxy Note 9 Receiving April Security Patch'],0.0,0.714,0.286,-0.286
355,['Galaxy Fold preorders are live galaxyfold '],0.0,1.0,0.0,0.0
356,['Galaxy Fold Reservations are Now Open galaxyfold '],0.0,1.0,0.0,0.0
357,['Galaxy A80 comes with popup flippy camera action '],0.0,1.0,0.0,0.0
358,['Dont know which Galaxy S10 to buy We can help '],0.0,0.787,0.213,-0.213
359,['Which Galaxy S10 Should You Buy galaxys10 '],0.0,1.0,0.0,0.0
360,['Ready to have your choice in Galaxy Note 10 models'],0.0,1.0,0.0,0.0
361,['US unlocked Galaxy S8 S8 and Note 8 grabbed their Pie One UI updates today'],0.0,1.0,0.0,0.0
362,['A Smaller Galaxy Note 10 Yes Please galaxynote10 '],0.0,0.583,0.417,-0.417
363,['US Unlocked Galaxy S8 S8 and Note 8 Now Receiving Pie and One UI Update'],0.0,1.0,0.0,0.0
364,['Verizon Galaxy S10 S10 and S10e All Receive New Update'],0.0,1.0,0.0,0.0
365,['DEAL Unlocked Galaxy S9 on sale for 499 S9 for 599 100 off '],0.0,1.0,0.0,0.0
366,['TMobile Galaxy Note 8 gets its Pie One UI update '],0.0,1.0,0.0,0.0
367,['DEAL Get an Unlocked Galaxy S9 for 499 Galaxy S9 for 599 100 Off'],0.0,1.0,0.0,0.0
368,['TMobile Galaxy Note 8 Pie One UI Update is Here'],0.0,1.0,0.0,0.0
369,['Report says Verizons Galaxy S10 5G will go on sale starting April 18 '],0.0,1.0,0.0,0.0
370,['VIDEO 5 reasons you should buy the Galaxy S10S10'],0.0,1.0,0.0,0.0
371,['Report Verizon Galaxy S10 5G Goes on Sale April 18'],0.0,1.0,0.0,0.0
372,['Video 5 Reasons to Buy the Galaxy S10S10'],0.0,1.0,0.0,0.0
373,['Verizon Galaxy S8 Note 8 get that Pie and One UI '],0.0,1.0,0.0,0.0
374,['Verizons Galaxy S8 and Note 8 Join the Pie One UI Update Party'],0.0,0.833,0.167,-0.167
375,['Verizon Galaxy S7 S7 Edge S9 and S9 Receive March Security Patch'],0.0,0.821,0.179,-0.179
376,['VIDEO 26 minutes worth of cases for the Galaxy S10 '],0.0,0.84,0.16,-0.16
377,['Galaxy S10 5G availability begins April 5 in South Korea '],0.0,1.0,0.0,0.0
378,['Video Need a Case for Your Galaxy S10 There Are Lots of Options to Choose From'],0.0,1.0,0.0,0.0
379,['We Know When You Can Start Buying the Galaxy S10 5G galaxys105g '],0.0,1.0,0.0,0.0
380,['Galaxy S7 is Old so Itll Now Only Get Quarterly Security Updates galaxys7 '],0.0,0.844,0.156,-0.156
381,['TMobile ATampT Galaxy Note 8 and S8 phones are getting that fresh slice of Pie '],0.0,0.859,0.141,-0.141
382,['Fresh Pie Updates for TMobile ATampT Galaxy Note 8 and S8 Phones are Here'],0.0,1.0,0.0,0.0
383,['That Energy Ring app now supports the Galaxy S10 too Sweet'],0.0,0.662,0.338,-0.338
384,['Report says the Galaxy Note 10 may have no physical buttons '],0.167,0.833,0.0,0.167
385,['Report Galaxy Note 10 Coming in August May Have No Physical Buttons'],0.167,0.833,0.0,0.167
386,['Here is the Galaxy FoldFolding galaxyfold '],0.0,1.0,0.0,0.0
387,['Energy Ring app turns your Galaxy S10 S10e display cutout into a battery level indicator '],0.0,1.0,0.0,0.0
388,['Sprint Galaxy S8 S8 and Note 8 Updated to Pie'],0.0,1.0,0.0,0.0
389,['Energy Ring for Galaxy S10 S10e Brings a Battery Indicator to Your Displays Cutout'],0.0,1.0,0.0,0.0
390,['ATampT Galaxy Fold in the wild sports a sweet display crease'],0.0,0.75,0.25,-0.25
391,['In this weeks podcast we cover our Galaxy S10 reviews and the launch of Android Q'],0.0,1.0,0.0,0.0
392,['This collection of wallpapers embrace the Galaxy S10s display cutout '],0.0,0.813,0.187,-0.187
393,['Our Galaxy S10e review is up We like it '],0.0,0.783,0.217,-0.217
394,['You Need These Wallpapers That Embrace Your GalaxyS10 Display Cutout'],0.0,0.796,0.204,-0.204
395,['Our Galaxy S10 review is here galaxys10 '],0.0,1.0,0.0,0.0
396,['280 off the Galaxy Note 9 right now at Amazon'],0.0,1.0,0.0,0.0
397,['DEAL US Unlocked Galaxy Note 9 Down to 719 at Amazon 280 off'],0.0,0.866,0.134,-0.134
398,['Weve got 20 tips amp tricks for the whole Galaxy S10 family'],0.12,0.88,0.0,0.12
399,['20 Galaxy S10 S10 amp S10e Tips and Tricks galaxys10 '],0.13,0.87,0.0,0.13
400,['Verizon Galaxy Note 9 Android Pie Update is Ready'],0.0,1.0,0.0,0.0
401,['Here are a few Galaxy S10e tricks you may not have known about '],0.111,0.889,0.0,0.111
402,['We have the first 10 things to do with the Galaxy S10 and S10 '],0.0,1.0,0.0,0.0
403,['Galaxy S10e Some of Its Cool Sht You May Not Know About galaxys10e '],0.0,0.85,0.15,-0.15
404,['Galaxy S10 First 10 Things to Do']----,0.0,1.0,0.0,0.0
405,['Ankers 10W Fast Wireless Charger at 1299 is Here for Your New GalaxyS10'],0.0,1.0,0.0,0.0
406,['Galaxy S10 Owners Treated to 6 Months of Spotify Premium 4 Months of YouTube Premium'],0.0,1.0,0.0,0.0
407,['Galaxy S10 preorders are arriving at the door What are your first impressions'],0.0,1.0,0.0,0.0
408,['We unbox the Galaxy S10 in Ceramic White'],0.0,1.0,0.0,0.0
409,['Your Galaxy S10 PreOrders are Here First Reactions GalaxyS10 '],0.0,1.0,0.0,0.0
410,['VIDEO Galaxy S10 Unboxing']-----------,0.0,1.0,0.0,0.0
411,['Probably Running Out of Time to Get 550 Off for Trades on Galaxy S10 galaxys10 '],0.0,1.0,0.0,0.0
412,['iFixit Tears Down the Galaxy S10 Lineup Finds Self Repairability to be a Nightmare'],0.137,0.863,0.0,0.137
413,['Weve got the first 10 things you should do with the Galaxy S10e '],0.0,1.0,0.0,0.0
414,['February patch rolling out to Verizon Galaxy S8 S8 and Note 8 '],0.0,1.0,0.0,0.0
415,[' Full review for Galaxy S10 will be 855 for sure but not sure about the 10e It will likely be a mi '],0.0,0.82,0.18,-0.18
416,['Galaxy S10e First 10 Things to Do']---,0.0,1.0,0.0,0.0
417,['Verizon Galaxy S8 S8 and Note 8 Receive February Security Patch'],0.0,0.789,0.211,-0.211
418,['Galaxy S10 receives A grade from DisplayMate '],0.0,1.0,0.0,0.0
419,['Galaxy S10 preorders are shipping out and will hit doorsteps a couple days early'],0.0,1.0,0.0,0.0
420,['We unboxed and went handson with the Galaxy S10e last week Its very bright '],0.0,0.814,0.186,-0.186
421,['DisplayMate Praises Galaxy S10 Most Color Accurate Display We Have Ever Tested'],0.0,0.764,0.236,-0.236
422,['Galaxy S10 preorders are shipping early galaxys10 '],0.0,1.0,0.0,0.0
423,['We unbox the Galaxy S10e In Canary Yellow Hot '],0.0,1.0,0.0,0.0
424,['TMobile Galaxy Note 9 gets Pie update '],0.0,1.0,0.0,0.0
425,['VIDEO Galaxy S10e Unboxing']----------,0.0,1.0,0.0,0.0
426,['Netflix Certifies Galaxy S10 Lineup for HDR Support'],0.0,1.0,0.0,0.0
427,['TMobile Galaxy Note 9 Receiving Pie Update'],0.0,1.0,0.0,0.0
428,['Poll Screen Protector or Nah galaxys10 '],0.189,0.811,0.0,0.189
429,['Galaxy S10 S10 preorders now come with a 130 gift certificate galaxys10 '],0.0,0.791,0.209,-0.209
430,['DEAL Galaxy S10 S10 PreOrders Now Include 130 Gift Certificate galaxys10 '],0.0,0.791,0.209,-0.209
431,['Verizon Galaxy S9 S9 and Moto Z2 Play Updated With February Security Patch'],0.0,0.696,0.304,-0.304
432,['4 rear cameras on the Galaxy Note 10 Sounds good '],0.0,0.775,0.225,-0.225
433,['Galaxy Note 10 Rumored to Sport 4 Rear Cameras Just Like the Galaxy S10 5G'],0.0,0.839,0.161,-0.161
434,['If Youre Planning to Buy a Galaxy Fold Note That Supplies Will be Limited'],0.0,1.0,0.0,0.0
435,['DEAL PreOrder New Galaxy Watch Active Get a Free 60 Wireless Charging Pad galaxywatchactive '],0.0,0.667,0.333,-0.333
436,['DxOMarks Galaxy S10 camera ranking makes it sound like an incredible shooter '],0.0,0.828,0.172,-0.172
437,['We Investigate Is the Galaxy Fold bad'],0.0,1.0,0.0,0.0
438,['Galaxy S10 wallpapers are now downloadable for all to enjoy '],0.0,0.758,0.242,-0.242
439,['Galaxy S10 Bixby button is completely remappable right out of the box '],0.0,1.0,0.0,0.0
440,['Buying a Galaxy S10e for 200 seems like a good bargain '],0.0,0.493,0.507,-0.507
441,['Galaxy S10 DxOMark Camera Ranking is Really Really Good'],0.0,1.0,0.0,0.0
442,['Is the Galaxy Fold Bad galaxyfold ']--,0.368,0.632,0.0,0.368
443,['Galaxy S10 Wallpapers are Available for Download'],0.0,1.0,0.0,0.0
444,['Galaxy S10 Bixby Button is Remappable Out of the Box'],0.0,1.0,0.0,0.0
445,['I Went Galaxy S10e Traded in a Galaxy S9 and Will Pay Just 200 galaxys10e '],0.091,0.909,0.0,0.091
446,['Galaxy S10 preorders are opening any minute  here are the prices deals etc galaxys10 '],0.0,1.0,0.0,0.0
447,['Poll You buying a Galaxy Fold']-------,0.0,1.0,0.0,0.0
448,['Galaxy S10 early preorder emails going out to those who reserved'],0.0,1.0,0.0,0.0
449,['Poll You buying a Galaxy S10 Which one'],0.0,1.0,0.0,0.0
450,['We played with the Galaxy S10 family'],0.0,0.714,0.286,-0.286
451,['The Galaxy Watch and Galaxy Buds']----,0.0,1.0,0.0,0.0
452,['Galaxy S10 family specs']-------------,0.0,1.0,0.0,0.0
453,['The Galaxy S10 galaxys10 ']-----------,0.0,1.0,0.0,0.0
454,['The Galaxy Fold galaxyfold']----------,0.0,1.0,0.0,0.0
455,['Galaxy S10 Availability Pricing Deals All Carriers Up to 1600 galaxys10 '],0.0,1.0,0.0,0.0
456,['Poll Are You Buying a Galaxy Fold']---,0.0,1.0,0.0,0.0
457,['OMG We Played With the Galaxy S10 Galaxy S10and S10e galaxys10 '],0.0,0.821,0.179,-0.179
458,['Poll Which GalaxyS10 are You Buying']-,0.0,1.0,0.0,0.0
459,['GALAXY FOLD']-------------------------,0.0,1.0,0.0,0.0
460,['Galaxy S10 promo videos are here and the phone hasnt been announced yet galaxys10 '],0.0,1.0,0.0,0.0
461,['We know of at least 1 screen protector thatll work properly with the Galaxy S10'],0.0,1.0,0.0,0.0
462,['Galaxy S10 leaks on Galaxy S10 leaks'],0.0,1.0,0.0,0.0
463,['Whitestone Screen Protector 2Pack for Galaxy S10 Costs 60 Doesnt Have Giant Hole'],0.0,1.0,0.0,0.0
464,['This Galaxy S10 S10 Video Wasnt Supposed to Arrive This Early galaxys10 '],0.0,1.0,0.0,0.0
465,['US Unlocked Galaxy S9 S9 Now Receiving Android Pie One UI Update'],0.0,1.0,0.0,0.0
466,['Unlocked Galaxy S9 Comes in Last Again With Big Updates'],0.0,1.0,0.0,0.0
467,['Our First Look at the Galaxy S10 in Luxurious Ceramic White'],0.0,1.0,0.0,0.0
468,['TMobile Galaxy S9 S9 units getting that Pie update once again '],0.0,1.0,0.0,0.0
469,['Haha This Galaxy S10 Screen Protector has a Giant Hole'],0.0,1.0,0.0,0.0
470,['TMobile Galaxy S9 Pie update is back and rolling out'],0.0,1.0,0.0,0.0
471,['Specs galore for the Galaxy S10 S10 and S10e '],0.0,1.0,0.0,0.0
472,['Galaxy S10 S10 S10e Finalized Specs Reportedly Detailed in Full'],0.0,1.0,0.0,0.0
473,['TMobile Galaxy S9 S9 Get Android 9 Pie Update and RCS Universal Profile 10'],0.0,1.0,0.0,0.0
474,['Galaxy S10 indisplay fingerprint reader probably confirmed'],0.0,1.0,0.0,0.0
475,['Galaxy S10 may have reverse wireless charging and thats not really as cool as you think'],0.126,0.874,0.0,0.126
476,['A First Look at the Galaxy S10 InDisplay Fingerprint Reader is Here'],0.0,1.0,0.0,0.0
477,['Reverse Wireless Charging in the Galaxy S10OK galaxys10 '],0.0,1.0,0.0,0.0
478,['Your Next Galaxy Note S Pen May Double as a Camera'],0.0,1.0,0.0,0.0
479,['Heres the Galaxy S10e the lower cost S10 model '],0.196,0.804,0.0,0.196
480,['Verizon Moto G6 G6 Play LG V40 Galaxy Note 8 and RED Hydrogen One Get Security Patches'],0.0,0.745,0.255,-0.255
481,['Heres the Galaxy S10e the Lower Cost Model'],0.239,0.761,0.0,0.239
482,['Highres Galaxy S10 and S10 images are here'],0.0,1.0,0.0,0.0
483,['Sprint and ATampT Galaxy S9 phones all got Pie and One UI updates today'],0.0,1.0,0.0,0.0
484,['So many GalaxyS10 pics today']--------,0.0,1.0,0.0,0.0
485,['Weve Got a First Galaxy Note 9 Pie Update in the US galaxynote9 '],0.0,1.0,0.0,0.0
486,['Heres a HighRes Image of the Galaxy S10 galaxys10 '],0.0,1.0,0.0,0.0
487,['Sprint Galaxy S9 Gets Android Pie One UI Update Too galaxys9 '],0.0,1.0,0.0,0.0
488,['Verizon Galaxy S9 and S9 get updated with Pie and One UI '],0.0,1.0,0.0,0.0
489,['Verizon Galaxy S9 S9 Now Getting Android Pie and One UI Update galaxys9 '],0.0,1.0,0.0,0.0
490,['Galaxy Buds Reported to Launch Alongside Galaxy S10'],0.0,1.0,0.0,0.0
491,['You buying the 1TB Galaxy S10']-------,0.0,1.0,0.0,0.0
492,['Galaxy S9 on Xfinity Mobile getting Android Pie One UI update '],0.0,1.0,0.0,0.0
493,['Android Pie Beta Now Open to US Galaxy S8 S8 and Note 8'],0.0,1.0,0.0,0.0
494,['This is our best look at the Galaxy S10 and S10 yet '],0.0,0.741,0.259,-0.259
495,['A Spicy New Look at the Galaxy S10 and Galaxy S10 galaxys10 '],0.0,1.0,0.0,0.0
496,['Blockchain KeyStore spotted in Galaxy S10 software '],0.0,1.0,0.0,0.0
497,['Is a 1500 Galaxy S10 with 5G connectivity DOA'],0.0,1.0,0.0,0.0
498,['Haha What Galaxy S10 Leak Reveals a Blockchain KeyStore galaxys10 '],0.211,0.789,0.0,0.211
499,['Galaxy S10 With 5G Reported to Cost Over 1500'],0.0,1.0,0.0,0.0
500,['Unlocked Galaxy Note 9 is even cheaper now than it was earlier today 270 off'],0.0,1.0,0.0,0.0
501,['DEAL US Unlocked Galaxy Note 9 is 754 at Amazon Today 245 Off galaxynote9 '],0.0,0.884,0.116,-0.116
502,['Heres the Galaxy S10 E Galaxy S10 and Galaxy S10 '],0.0,1.0,0.0,0.0
503,['Verizon LG V30 Galaxy S8 and S8 Updated With January Security Patch'],0.0,0.821,0.179,-0.179
504,['Wow Look at These Galaxy S10 Cases']--,0.0,1.0,0.0,0.0
505,['DEAL Unlocked Galaxy S9 at 525 is a Good Price galayxs9 '],0.0,0.775,0.225,-0.225
506,['Galaxy S8 S8 Note 8 One UI Beta Now Open in Select Markets'],0.0,1.0,0.0,0.0
507,['Everything we know about the Galaxy S10 and all of its variants in one handy dandy post '],0.0,1.0,0.0,0.0
508,['Reported specs for the Galaxy S10 X are nuts '],0.223,0.777,0.0,0.223
509,['Verizon Galaxy S8 S8 Get December Security Patch'],0.0,0.745,0.255,-0.255
510,['Galaxy S10 unveiling confirmed for February 20 '],0.0,1.0,0.0,0.0
511,['TMobile Galaxy Note 9 Note 8 get RCS Universal Profile 10 support'],0.0,1.0,0.0,0.0
512,['TMobile Galaxy Note 9 Note 8 Get RCS Universal Profile 10 Support'],0.0,1.0,0.0,0.0
513,['Oh This the Galaxy S10 galaxys10 ']---,0.0,1.0,0.0,0.0
514,['Actual Photo of Galaxy S10 Emerges Hole Punch Notch and All'],0.0,1.0,0.0,0.0
515,['Lots of Galaxy Phones on TMobile are Getting Security Patch Updates'],0.0,0.806,0.194,-0.194
516,['Verizon Galaxy S9 S9 and Note 8 Updated With December Security Patch'],0.0,0.806,0.194,-0.194
517,['Galaxy Note 9 Getting One UI Beta 2 Update With Lots of Bug Squashing'],0.0,1.0,0.0,0.0
518,['Galaxy A8s with InfinityO display is confirmed for China '],0.0,1.0,0.0,0.0
519,['One UI registration opens again for Galaxy Note 9 owners You best hurry'],0.0,0.724,0.276,-0.276
520,['Galaxy Note 9 owners you get in the One UI beta'],0.0,1.0,0.0,0.0
521,['One UI Beta Opened to Limited Number of Galaxy Note 9 Owners'],0.156,0.738,0.107,0.049
522,['Amazon is selling Galaxy devices at 200 discount bundled with Amazon Echo devices '],0.0,0.884,0.116,-0.116
523,['DEAL Amazon Selling Galaxy S9 S9 Note 9 200 Off With Free Echo 2nd Gen Echo Spot'],0.0,0.737,0.263,-0.263
524,['Camera Shootout Pixel 3 XL vs OnePlus 6T vs RED Hydrogen One vs Galaxy Note 9 vs Mate 20 Pro'],0.0,1.0,0.0,0.0
525,['Ready for a Galaxy S phone with 5G connectivity and 6 cameras Its apparently coming '],0.0,1.0,0.0,0.0
526,['Report Variant of Galaxy S10 to Offer 5G Four Rear Cameras'],0.0,1.0,0.0,0.0
527,['Galaxy S10 May Skip the Notch for an InfinityO Display galaxys10 '],0.0,1.0,0.0,0.0
528,['Black Friday deals for Google products Galaxy Phones are lookin good'],0.0,1.0,0.0,0.0
529,['Verizon Updates Galaxy S9 RED Hydrogen Moto Z and More'],0.0,1.0,0.0,0.0
530,['You Buying a Foldable Galaxy F Phone for 1700'],0.0,1.0,0.0,0.0
531,['Black Friday 2018 Deals Lookin Great for Pixel 3 Galaxy Phones deals '],0.0,0.728,0.272,-0.272
532,['Instant Tethering Comes to More Chromebooks and Android Devices'],0.0,1.0,0.0,0.0
